Status,Replacement Status,Item Name,SKU,REPLACE_WITH,Old,Simple Name,Child Name
Current,,"Ghost Pepper Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Eggs, Salad, Tacos, & Pizza - Kosher, Gluten-Free, Dairy-Free, V",SN-GHST,SN-GHST,,,#N/A
Current,,"Everything Spicy Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Steak, Salad, Chicken, Dips & Vegetables - Kosher, Low Sodium, Dairy-Free, Vegan & Keto Friendly -(3.6 oz)",SN-EVSP,SN-EVSP,,,#N/A
Current,,FlavorGod Everything Seasoning,SN-EVRY,SN-EVRY,,,#N/A
Current,,"Everything Bagel Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Bagels, Chicken, Eggs, Vegetables & Salad- Kosher, Gluten-Free & No MSG Great Flavor Spices and Seasoning",SN-EVBG,SN-EVBG,,,#N/A
Current,,"No Salt Seasoning, Everything but the Salt Seasoning by Flavor God, No Sodium, Natural, Garlic, Chili & Black Pepper, Salt Substitute, Salt Free, Spices with Flavor, Low Sodium Vegan, Popcorn, Pasta",SN-EBTS,SN-EBTS,,,#N/A
Current,,"Cajun Lovers Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, & Pasta - Kosher, Gluten-Free, Dairy-Free",SN-CJLV,SN-CJLV,,,#N/A
Current,,"Cheese Flavored Seasoning Mix by FlavorGod - Premium All Natural & Healthy Spice Blend for Chicken, Vegetables, Salad, Pizza, Tacos, & Pasta - Kosher, Dairy-Free, Gluten-Free, Keto Friendly (2.6 oz)",SN-CHSE,SN-CHSE,,,#N/A
Current,,"Chipotle Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Salad, Tacos, Pizza, & Pasta - Kosher, Gluten-Free, Dairy-Free, Vegan",SN-CHPL,SN-CHPL,,,#N/A
Current,,"Buffalo Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Beef, Seafood, Vegetables, Hot Wings, French Fries & Cauliflower - Kosher, Gluten-Free, Dairy-Fre",SN-BFLO,SN-BFLO,,,#N/A
Current,,"Bacon Lovers Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Beef, Eggs, Salad & Vegetables - Kosher, Low Sodium, Gluten-Free, Vegan & Keto Friendly",SN-BCLV,SN-BCLV,,,#N/A
Current,,"Steak & Chop Rub Seasoning Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Beef, Pork & Vegetables - Kosher, Zero Carbs, Gluten-Free, Vegan & Keto Friendly - Great Flavor Spices",RB-STKC,RB-STKC,,,#N/A
Current,,"Original BBQ Rub Mix by Flavor God - Premium All Natural & Healthy Spice Blend for Grilling Chicken, Wings, Beef, Pork, Bacon, Eggs, Seafood, Vegetables, Salad, Tacos, Pizza - Kosher, Gluten-Free",RB-OBBQ,RB-OBBQ,,,#N/A
